,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Asthma Population,Adult Asthma Population Number,Adult Asthma Population Percent ,Child Asthma Population Number,Child Asthma Population Percent,Total Asthma Attacks Number,Total Asthma Attacks Percent,Adult Asthma Attacks Number,Adult Asthma Attacks Percent,Child Asthma Attacks Number,Child Asthma Attacks Percent,Total Medicare Beneficiaries,Asthma Patients with Medicare Number,Asthma Patients with Medicare Percent,Medicaid Coverage: Controller Medication,Medicaid Coverage: Medical Devices,Medicaid Coverage: Lung Function Testing,Medicaid Coverage: Self Mgmt Education,99454 Coverage: Medicare,99454 Coverage: Medicaid,99454 Coverage: Top Private Insurance,99454 Coverage: Second Private Insurance,Largest Medicare Advantage Insurer Name,Largest Medicare Advantage Insurer Market Share,Second Largest Medicare Advantage Insurer Name,Second Largest Medicare Advantage Insurer Market Share,Largest Medicaid MCO Plan Name,Largest Medicaid MCO Plan Market Share,Second Largest Medicaid MCO Plan Name,Second Largest Medicaid MCO Plan Market Share,Largest Private Health Insurer Name,Largest Private Health Insurer Market Share,Largest Private Health Insurer Coverage,Second Largest Private Health Insurer Name,Second Largest Private Health Insurer Market Share,Second Largest Private Health Insurer Coverage,
,California,"3,313,415","2,848,466",9.3%,"464,949",5.3%,"1,590,439",48%,"1,321,688",46.4%,"247,353",53.2%,"6,499,203","389,952",6%,Yes (21),"Yes (2)
Varied (1)",Varied (2),Varied,Yes,Yes,Kaiser: Not specified,Blue Shield (BCBS): Not specified,Kaiser,44%,UnitedHealth,17%,L.A Care Health Plan,17.98%,Health Net Community Solutions (Centene),11.50%,Kaiser ,48%,Kaiser covers nebulizers and supplies for pediatric asthma.,Blue Shield,17%,Not specified,"

"
,Texas,"2,148,148","1,617,392",7.4%,"530,756",7.1%,"975,259",45.4%,"722,974",44.7%,"250,517",47.2%,"4,386,864","307,080",7%,Yes (21),Yes (3),Varied (2),Varied,Yes,No,BCBS (TX): Yes,UnitedHealth: Yes,UnitedHealth,50%,Humana ,18%,Superior HealthPlan (Centene) ,24.63%,Amerigroup Texas (Elevance),19.08%,HCSC (BCBS Texas),38%,"BCBS Texas provides coverage for codes 99454, 99091, and 98976.",UnitedHealth,20%,Not specified,"

"
,New York,"1,778,160","1,449,094",9.5%,"329,066",8.0%,"789,503",44.4%,"620,212",42.8%,"162,229",49.3%,"3,705,610","259,393",7%,"Yes (9)
Varied (12)",Varied (3),"Varied (1)
No (1)",Yes,Yes,Yes (only with HD Modifer),UnitedHealth: Yes    ,Anthem: Not specified,UnitedHealth,24%,HealthFirst,13%,Fidelis Care (Centene),32.14%,HealthFirst,22.98%,UnitedHealth,28%,"UnitedHealthcare provides coverage for codes 98976, 99453, 99454, 99457, 99458, and 99091.       ",Anthem,17%,Not specified,"

"
,Florida,"1,572,585","1,276,625",7.3%,"295,960",6.9%,"798,873",50.8%,"653,632",51.2%,"146,796",49.6%,"4,803,848","336,269",7%,"Yes (18)
No (3)",Yes (3),"Yes (1)
Varied (1)",Yes,Yes,No,Florida Blue: No,UnitedHealth: Yes,Humana ,32%,UnitedHealth,28%,Sunshine State Health Plan (Centene),42.72%,Humana Medical Plan,16.94%,BCBS FL,38%,Both Follow medicare CPT codes for RPM coverage,UnitedHealth,19%,"UnitedHealthcare provides coverage for codes 98976, 99453, 99454, 99457, 99458, and 99091.       ","

"
,Pennsylvania,"1,272,907","1,032,246",10.2%,"240,661",9.0%,"603,358",47.4%,"467,607",45.3%,"130,197",54.1%,"2,805,431","196,380",7%,Yes (21),Yes (3),"Yes (1)
Varied (1)",Yes,Yes,No,Highmark (BCBS): No,CVS Health: Not Specified ,CVS Health ,26%,Highmark,19%,UPMC Health Plan,19.28%,Keystone First (Independence Health Group),18.45%,Highmark (BCBS),29%,Does not cover,CVS Health,19%,Not specified,"

"
,Ohio,"1,080,631","895,631",9.9%,"185,000",7.1%,"480,881",44.5%,"398,556",44.5%,"82,880",44.8%,"2,407,792","144,468",6%,Yes (21),"Yes (2)
Varied (1)",Yes (2),Varied,Yes,Yes,Anthem (BCBS): Not specified,Medical Mutual: Not specified ,Anthem,26%,CVS Health,24%,CareSource,49.34%,Buckeye Health Plan (Centene),15.78%,Anthem,34%,Not specified,Medical Mutual,26%,Not specified,"

"
,Michigan,"1,027,498","859,534",11.0%,"167,964",7.8%,"437,714",42.6%,"361,864",42.1%,"74,240",44.2%,"2,130,074","149,105",7%,"Yes (19)
Varied (1)
No (1)","Yes (2)
Varied (1)",Varied (2),Varied,Yes,Yes (Nursing Midwifes Only),Blue Care Network of Michigan: Yes,Spectrum Health Group: Not Specified ,BCBS MI,49%,Spectrum Health,19%,Meridian Health Plan (Centene),25.15%,Molina Healthcare,17.64%,BCBS MI ,68%,"BCBS MI provides coverage for codes 99453, 99454, 99457, 99458, and 99091.",Spectrum Health,12%,Not Specified,"

"
,Illinois,"1,008,847","832,244",8.5%,"176,603",6.3%,"462,052",45.8%,"360,362",43.3%,"94,483",53.5%,"2,287,329","137,240",6%,"Yes (16)
Varied (5)",Varied (3),Yes (2),Varied,Yes,No ,HCSC (BCBS IL): No,UnitedHealth: Yes,UnitedHealth,33%,Humana ,26%,Meridian Health Plan (Centene),31.16%,BCBS Illinois,24.64%,HCSC (BCBS Illinois),61%,Does not cover,UnitedHealth,14%,"UnitedHealthcare provides coverage for codes 98976, 99453, 99454, 99457, 99458, and 99091.       ","

"
,Georgia,"979,245","736,912",9.0%,"242,333",9.6%,"477,382",48.75%,"335,295",45.5%,"134,979",55.7%,"1,808,944","108,537",6%,Yes (21),Yes (3),Yes (2),Yes,Yes,No,Anthem: Not specified,CVS Health: Not Specified ,UnitedHealth,36%,Humana ,27%,Peach State Health Plan (Centene),51.10%,Amerigroup Community Care (Elevance),27.74%,Anthem,38%,Not specified,CVS Health,14%,Not Specified,"

"
,North Carolina,"776,970","645,784",7.8%,"131,186",5.7%,"382,269",49.2%,"308,039",47.7%,"68,872",52.5%,"2,077,983","124,679",6%,Yes (21),Varied (3),Varied (2),Varied,Yes,Yes,BCBS (NC): Yes,UnitedHealth: Yes,Humana ,40%,UnitedHealth,32%,Healthy Blue NC,26.17%,UnitedHealthcare Community Plan of NC,21.73%,BCBS NC,53%,"BCBS NC provides coverage for codes 98976, 99453, 99454, 99457, 99458, and 99091.",UnitedHealth,17%,"UnitedHealthcare provides coverage for codes 98976, 99453, 99454, 99457, 99458, and 99091.       ","

"
